STT,Stock_code,Year,CR,QR,ITR,DSO,FATR,ATR,DAR,EAR,DER,ROS,ROA,ROE,CFR,WCTA,ARtoCA,STR,SDA,LDA,PRE,IRR,IT,CPtoAR,FAR,STDR,TDR,LogTA,Risk
35,AAV,2023,7.654304999,7.580202657,11.28984918,3255.177603,3.746998258,0.079634338,0.150531195,0.849468805,0.200329902,-0.237006013,-0.018873817,-0.022218376,0.005006131,0.633407205,0.974756495,0.105978957,0.095187582,0.055343612,-0.025910274,0.092648574,10.79347423,0.107199138,0.021252836,0.632344562,0.150531195,27.54557377,0
36,AAV,2024,4.969607578,4.944879773,13.58619453,3890.651824,1.465530732,0.041207882,0.179592375,0.820407625,0.243130214,-0.40938431,-0.01686986,-0.020562779,0.068037269,0.48690527,0.72059427,0.055786785,0.122658288,0.056934087,-0.019059568,0.073427805,13.6188191,0.094039892,0.028118061,0.682981602,0.179592375,27.56268605,0
37,ABC,2017,3.512899365,3.179331515,80.08767026,13.89994515,147.043412,5.964340747,0.232695031,0.767304969,0.81043852,0.075884848,0.452603089,0.589860756,0.469479017,0.561032084,0.289603869,20.7728178,0.223260864,0.009434167,1.993250668,0.012618227,79.25043855,25.98458541,0.040561768,0.959456946,0.232695031,27.2888894,0
38,ABC,2018,3.016349145,2.51017712,7.061188899,76.86907407,358.9035625,1.125486984,0.323196154,0.676803846,1.318291801,0.02613943,0.029419588,0.043468411,0.244254018,0.634936426,0.249547454,4.590773266,0.314894089,0.008302065,0.156384779,0.147004298,6.802522196,4.574391725,0.003135904,0.974312611,0.323196154,27.4468753,0
39,ABC,2019,2.70151541,2.15223505,14.7847127,28.23169232,429.6296081,2.673893755,0.3373947,0.6626053,1.41959559,0.013070826,0.034950001,0.052746334,0.236209059,0.560238658,0.232511029,11.25046656,0.329258645,0.008136055,0.186064636,0.069453833,14.39805341,12.59061206,0.006223719,0.975885648,0.3373947,27.47791649,0
40,ABC,2020,1.464486893,1.420917204,151.4977459,32.59649185,190.710201,3.829235489,0.588019026,0.411980974,2.539956076,-0.052623818,-0.201508991,-0.489122079,0.019414099,0.269460373,0.402515993,16.5404341,0.580124816,0.00789421,-0.811731393,0.006759001,147.9508482,10.93536518,0.020078818,0.986574908,0.588019026,27.5041854,0
41,ABC,2021,0.5853361,0.570973027,92.85107267,84.07192495,50.71713031,1.651044502,1.245726983,-0.245726983,5.645380961,-0.386640315,-0.638360366,2.597843986,0.00963445,-0.513358432,0.524791901,7.482197402,1.238010911,0.007716072,-2.85971096,0.011208598,89.21722219,4.171609473,0.032553981,0.993805969,1.245726983,27.55216103,1
42,ABC,2022,2.956860906,2.948920795,901.9750823,52.33995228,72.74656927,1.845757801,0.267555074,0.732444926,0.986534525,0.560224482,1.034038709,1.411763086,0.289755173,0.504328563,0.347320699,6.805715792,0.257723255,0.009831819,3.871441275,0.001197362,835.1696313,6.457132469,0.025372438,0.963253102,0.267555074,27.34591553,0
43,ABC,2023,3.845627163,3.837670121,954.7539935,136.5004588,144.5666312,1.682060418,0.223141981,0.776864568,0.701718931,0.024403457,0.041048089,0.052838154,0.701806056,0.630052142,0.738783465,5.289608133,0.221410644,0.001731337,0.127577908,0.001045609,956.3802012,2.678538213,0.011635191,0.992241095,0.223141981,27.18676732,0
44,ABR,2017,5.699395091,5.341927781,16.84768042,268.0172249,499.7275522,0.737366851,0.122491506,0.877508494,0.157727698,0.027011772,0.019917586,0.022697884,0.876754145,0.575372526,0.775921035,0.949479517,0.122435444,5.60619E-05,0.032281024,0.063154904,15.83408318,1.27992041,0.001475538,0.99954232,0.122491506,24.37729165,0
45,ABR,2018,8.640598674,7.591514051,7.568633587,328.2580144,8.1614746,0.590451216,0.074362849,0.925637151,0.089209824,0.081253019,0.047975944,0.051830184,0.40643571,0.568176684,0.826431081,0.708338233,0.074362849,0,0.071943275,0.15196229,6.580579967,0.96677234,0.072346144,1,0.074362849,24.30649791,0
46,ABR,2019,3.845031543,3.838879847,98.81031674,315.1677139,77.27119912,0.104659748,0.180788177,0.819211823,0.233608614,0.310504825,0.032497357,0.039669053,2.310068435,0.489857317,0.136504234,0.13523793,0.172179925,0.008608252,0.054571908,0.018469955,54.14198461,0.634575094,0.001354447,0.952384873,0.180788177,26.27790428,0
47,ABR,2020,4.620709251,4.584303973,62.65453214,77.40949093,12.59774791,0.347887158,0.162873558,0.837126442,0.230012403,0.251669801,0.087552692,0.104587178,2.24452196,0.552223907,0.104691049,0.491291294,0.152518158,0.0103554,0.148504772,0.034456773,29.02187036,2.184095175,0.027615028,0.93642062,0.162873558,26.36674225,0
48,ABR,2021,4.483971578,4.476240842,223.5192539,167.3938162,6.196720896,0.291679023,0.181590517,0.818409483,0.283748719,0.212000937,0.061836226,0.075556586,0.934044548,0.588090311,0.176733741,0.455770216,0.168798826,0.012791691,0.115863065,0.008738185,114.440245,1.116393486,0.047069898,0.929557492,0.181590517,26.46791801,0
49,ABR,2022,2.377356973,2.372263832,248.1498726,195.7592589,9.543921803,0.279912494,0.233828166,0.766171834,0.435134004,0.28211887,0.078968597,0.103069042,0.259616531,0.305048592,0.285124686,0.520892956,0.22147388,0.012354286,0.19136296,0.008218487,121.6768984,0.914249278,0.029328875,0.947165106,0.233828166,26.64265073,0
50,ABR,2023,3.44107663,0,0,269.5547953,738.7985972,0.139751696,0.176897884,0.823102116,0.339716046,0.577211035,0.080666221,0.098002689,0.066507719,0.321853584,0.227478315,0.268380223,0.131849029,0.045048855,0.147272292,0,0,0.514981337,0.000189161,0.745339777,0.176897884,26.67412067,0
51,ABS,2017,1.289135536,1.048204995,12.13650193,129.5227899,33.13268279,1.053845562,0.363183702,0.636816298,0.67485618,0.051607181,0.054385998,0.085402962,0.00473848,0.10420608,0.80489667,1.958221653,0.360405646,0.002778056,0.125768714,0.087665856,11.40694959,2.648638376,0.031806829,0.992350824,0.363183702,27.00581715,0
52,ABS,2018,1.408728683,1.365044663,51.67359534,216.9094111,29.15901483,0.813585649,0.362156309,0.637843691,0.730168236,0.062602877,0.050932802,0.079851542,0.00388905,0.147315051,0.95224664,1.640325967,0.360422591,0.001733718,0.129914391,0.020480636,48.82660913,1.590019147,0.027901685,0.99521279,0.362156309,27.08742537,0
53,ABS,2019,1.375273182,1.298888911,39.91992276,153.3286546,48.49445415,1.192377748,0.391833153,0.608166847,0.902509154,0.041748009,0.049779397,0.081851547,0.006902452,0.146746503,0.931397604,2.746403217,0.391039143,0.00079401,0.149839423,0.026892215,37.18548237,2.217447094,0.02458792,0.997973601,0.391833153,27.22056903,0
54,ABS,2020,1.176943171,1.169801395,210.4551092,283.0040551,72.32359558,0.943509154,0.627990911,0.372009089,1.962638897,0.043396592,0.040945082,0.110064736,0.003478935,0.111074471,0.990170473,2.948717463,0.627740931,0.00024998,0.157928715,0.005142998,194.4391122,1.191583174,0.013045662,0.999601938,0.627990911,27.78810672,1
55,ABS,2021,1.924641956,1.894313748,59.33187711,279.4282558,92.13772292,0.752501882,0.41843554,0.58156446,0.833184532,0.054519054,0.041025691,0.070543669,0.004718262,0.386675227,0.715751628,1.498373986,0.418189142,0.000246398,0.102533622,0.017718756,56.4373694,1.242513794,0.008167142,0.999411145,0.41843554,28.09660986,0
56,ABS,2022,1.777066978,1.770338791,312.4792795,229.047968,108.4161029,0.961734984,0.457442109,0.542557891,0.954493625,0.014039954,0.013502714,0.02488714,0.004662891,0.355463157,0.742418963,2.006745538,0.457442109,0.000705398,0.044600696,0.003385385,295.3873585,1.506388883,0.008870776,1,0.457442109,28.14340819,0
57,ABS,2023,1.688468283,1.682837322,274.0743506,397.2079551,74.09111388,0.649201524,0.421251182,0.573501236,0.831552648,0.008083133,0.005247582,0.00915008,0.00267661,0.289609367,0.994679186,1.281528145,0.420657529,0.000593653,0.028401192,0.003791769,263.7291603,0.884228859,0.008762205,0.998590739,0.421251182,28.08794289,0
58,ABT,2017,1.639446067,1.220794585,4.069669113,58.76343957,7.957207989,0.608494209,0.362931164,0.637068836,1.631960256,0.073122476,0.044494603,0.069842693,0.060561687,0.22837504,0.167312713,2.736161736,0.357145117,0.005786047,0.233201395,0.282635382,3.538127438,5.400077935,0.076470819,0.984057452,0.362931164,27.17586073,0
59,ABT,2018,2.410219488,1.302039099,3.241364231,44.80903554,7.730632816,0.742576828,0.21635391,0.78364609,0.82133425,0.167794174,0.124600066,0.15900043,0.2739675,0.291534401,0.182959276,2.819009757,0.206729806,0.009624104,0.521878525,0.401384914,2.491374156,6.260923362,0.096056409,0.955516849,0.21635391,27.00655135,0
60,ABT,2019,2.151210327,0.800831388,2.225377876,45.98943489,6.652697433,0.670707767,0.232737033,0.767262967,0.888339976,0.134834104,0.090434281,0.117866084,0.206982367,0.256938149,0.176011789,2.560041749,0.223189579,0.009547454,0.388361731,0.528927308,1.890618966,6.742718604,0.100817416,0.958977504,0.232737033,27.01198205,0
61,ABT,2020,2.011201434,0.804728324,2.138056675,41.78470563,5.176688868,0.609396285,0.244616221,0.755383779,0.942722143,0.043125463,0.026280497,0.034790921,0.44094405,0.238891457,0.146826948,2.348541598,0.236245172,0.008371049,0.108226233,0.551490751,1.813267037,7.408291645,0.117719318,0.965778847,0.244616221,27.02161778,0
62,ABT,2021,1.72199649,0.69196154,1.944205285,52.07707994,5.483119756,0.577951863,0.29561836,0.70438164,1.245308904,0.098390017,0.056864693,0.080729948,0.396868246,0.208368792,0.165926434,2.434654603,0.288600838,0.007017522,0.251449995,0.638057097,1.56725786,5.649949644,0.105405661,0.976261548,0.29561836,27.11060633,0
63,ABT,2022,2.025619147,1.295323858,5.709979308,25.3829687,6.710827873,0.991794992,0.243596343,0.756403657,1.054050625,0.104123377,0.103269044,0.136526368,0.859774328,0.243935494,0.143161022,4.291534589,0.23784218,0.005754163,0.487019224,0.216323366,4.62270913,11.64159492,0.147790259,0.976378287,0.243596343,27.15707358,0
64,ABT,2023,2.144021344,1.562167068,5.81549623,60.32924296,5.901823568,0.817939464,0.246498062,0.753501938,1.116026159,0.11988069,0.098055147,0.130132575,0.070270359,0.276537658,0.260859655,3.703241443,0.241724212,0.004773849,0.488387474,0.204011653,4.901680793,5.099448804,0.138590972,0.980633319,0.246498062,27.20236579,0
65,ACC,2017,2.527135426,1.330026633,2.195951003,139.9977236,7.331796853,0.831093622,0.328371937,0.671628063,1.093080608,0.095438642,0.079318447,0.118098768,0.288520253,0.482804417,0.398984349,2.766534592,0.316150362,0.012221575,0.31219902,0.585816854,1.707018146,2.02669027,0.113354699,0.962781305,0.328371937,26.53104434,0
66,ACC,2018,2.329626387,1.139606137,2.547096425,79.88770588,10.76054462,1.036554003,0.367989427,0.632010573,1.350699911,0.087458569,0.09065553,0.143439894,0.439067632,0.454696719,0.284774138,3.804656588,0.341973297,0.026016131,0.41824931,0.49102482,2.03655693,3.653121219,0.096329139,0.929301962,0.367989427,26.62876,0
67,ACC,2019,1.885055294,1.498729792,6.046967222,131.0637172,6.494012575,0.953001126,0.499853463,0.500146537,2.484371763,0.096825709,0.092275009,0.184495948,0.651203932,0.361054553,0.444996418,4.736606346,0.407945758,0.091907705,0.523725862,0.204005376,4.901831605,2.25751766,0.146750736,0.816130702,0.499853463,26.93189614,0
68,ACC,2020,2.126230499,1.155356895,1.368786794,161.6236699,6.529241495,0.531130252,0.444989916,0.555010084,1.354258975,0.134104717,0.071227072,0.128334735,0.561025246,0.450121567,0.276758046,1.616413955,0.399670909,0.045319007,0.258057018,1.006765504,0.99327996,1.638791745,0.081346394,0.898157227,0.444989916,27.54000639,0
69,ACC,2021,1.807680397,0.608588158,0.657601158,185.611474,17.03636594,0.300281081,0.595865148,0.404134852,2.334923452,0.109058002,0.032748055,0.081032493,0.205764577,0.307575934,0.221822435,1.176664454,0.380813915,0.215051233,0.145078164,1.917024626,0.521641708,1.559903683,0.017625888,0.639094125,0.595865148,27.79276832,1
70,ACC,2022,2.166075331,1.120531876,0.704221515,491.431224,53.28606908,0.305862677,0.4208291,0.5791709,0.841567926,0.1270449,0.038858293,0.067092966,0.126483912,0.484397303,0.457665002,0.611659742,0.415408241,0.005420859,0.093841661,1.689544983,0.591875333,0.624239246,0.005740012,0.987118622,0.4208291,28.37285113,0
71,ACC,2023,1.980864298,0.84299548,0.647379029,390.7707711,68.05080183,0.277031716,0.453649039,0.546350961,1.016192381,0.10766688,0.029827141,0.054593371,0.021924489,0.368882112,0.398130369,0.620562362,0.376078641,0.077570398,0.066128698,1.917033428,0.521639313,0.752631654,0.004070954,0.829007909,0.453649039,28.48630532,1
72,ACC,2024,1.1766264,0.504165648,0.698870404,315.0776177,106.961555,0.234334673,0.552612096,0.447387904,1.572248253,0.075011524,0.017577801,0.039289844,0.034129097,0.088070118,0.344786055,0.666710488,0.49862375,0.053988346,0.06065246,1.696989838,0.58927872,0.976785986,0.002190831,0.902303359,0.552612096,28.72541679,1
73,ABE,2017,1.978052259,1.24241661,7.265369537,75.6879459,13.63851697,2.144605924,0.404567914,0.595432086,1.58806653,0.058449778,0.12535174,0.210522313,0.110629101,0.392454295,0.560294771,8.418306964,0.401261069,0.003306845,0.56293505,0.163013266,6.134470067,4.071791097,0.15724627,0.991826229,0.404567914,25.50870147,0
74,ABE,2018,1.570644874,0.784839809,3.954188039,79.69467881,14.3657716,1.670103624,0.537491099,0.462508901,2.636381101,0.051347637,0.085755874,0.185414538,0.098581355,0.30671654,0.431947138,8.191818693,0.537491099,0,0.488331545,0.304946448,3.279264294,3.79824209,0.116255755,1,0.537491099,25.73149881,0
75,ABE,2019,1.57518685,0.905512841,4.745110943,80.80077309,21.0677692,1.76994806,0.566670195,0.433329805,2.996060985,0.053632155,0.094926129,0.21906208,0.196831755,0.320375765,0.446581151,9.35795173,0.556994244,0.00967595,0.50254971,0.260991221,3.831546503,3.647582122,0.084012125,0.9829249,0.566670195,25.80652479,0
76,ABE,2020,1.711962334,1.26333744,6.337479752,84.2954829,20.13269146,1.469727567,0.63855611,0.36144389,4.196861762,0.064713332,0.095110969,0.263141725,0.603495457,0.368039053,0.38354576,9.659673328,0.51693613,0.121619981,0.76467054,0.196338197,5.093252429,3.479903315,0.073002041,0.809539086,0.63855611,26.02413133,0
77,ABE,2021,1.46021932,0.868692072,3.897232776,94.1946359,15.02509453,1.380707278,0.59892234,0.40107766,3.571666671,0.076532035,0.105668338,0.263461042,0.266886106,0.275635632,0.407423728,8.233832395,0.59892234,0,0.827740945,0.327565271,3.05282668,3.035375993,0.091893417,1,0.59892234,25.92690423,0
78,ABE,2022,1.482273258,0.775971458,4.282522801,73.44813183,21.71592322,1.789432851,0.591596245,0.408403755,3.394676278,0.055079352,0.098560803,0.241331774,0.165497197,0.285311049,0.410628996,10.26805917,0.591596245,0,0.696105678,0.275729671,3.626740623,4.208515428,0.082401878,1,0.591596245,25.88838785,0
79,ABE,2023,1.580193774,0.977785881,5.194677877,99.70031262,27.53085311,1.76440278,0.574024362,0.425975638,3.151021709,0.050326005,0.088795343,0.208451692,0.118956995,0.327130865,0.540931889,9.685427704,0.563830361,0.010194001,0.609025412,0.234840166,4.258215355,3.000995499,0.064088199,0.98224117,0.574024362,25.84405875,0
80,ACG,2018,2.525575148,1.164536899,2.818055851,53.91410024,5.315247343,1.095061227,0.285508127,0.714491873,1.268649739,0.129267817,0.141556174,0.198121461,0.031730444,0.435564104,0.224320585,4.865882988,0.285508127,0,0.807424971,0.512734981,1.950325288,4.685413866,0.206022628,1,0.285508127,28.90325856,0
81,ACG,2019,3.850547289,2.21368376,3.393973914,55.99311021,6.154327896,1.07188424,0.193503604,0.806496396,0.941070464,0.108570301,0.116374795,0.144296733,0.081178563,0.549990469,0.221329977,5.212918919,0.192942061,0.000561543,0.63943224,0.396088698,2.524687033,4.849057368,0.174167555,0.997098022,0.193503604,29.06119988,0
82,ACG,2020,3.859195016,2.640732202,3.337675944,66.54838832,5.953771521,0.849173387,0.210285509,0.789714491,1.068286356,0.130102333,0.110479439,0.139897951,0.057256866,0.597012886,0.192134078,4.313946055,0.208804535,0.001480974,0.637726179,0.41414934,2.414587937,3.967840265,0.142627809,0.992957317,0.210285509,29.12462555,0
83,ACG,2021,3.051048688,1.897502747,2.400164844,68.15161185,6.195198356,0.664861432,0.242050917,0.757949083,1.376058627,0.136216704,0.090565233,0.119487226,0.082878064,0.492528249,0.169437719,3.779734943,0.24013484,0.001916077,0.618300065,0.575698166,1.737021342,3.875973659,0.107318829,0.992083992,0.242050917,29.23703698,0
